participant_id,condition,mc_score,mc_total,mc_percentage,rimms_attention,rimms_relevance,rimms_confidence,rimms_satisfaction,rimms_overall
001,conversational,1,10,10.0,4.333333333333333,4.333333333333333,3.6666666666666665,5.0,4.333333333333333
001,flashcard,0,10,0.0,1.0,4.333333333333333,4.0,1.0,2.583333333333333
002,conversational,8,10,80.0,2.0,3.3333333333333335,2.3333333333333335,2.0,2.416666666666667
002,flashcard,8,10,80.0,2.6666666666666665,3.0,3.3333333333333335,1.3333333333333333,2.5833333333333335
003,conversational,9,10,90.0,4.666666666666667,4.0,4.333333333333333,4.0,4.25
003,flashcard,7,10,70.0,1.3333333333333333,4.0,3.3333333333333335,1.6666666666666667,2.583333333333333
004,conversational,6,10,60.0,5.0,4.666666666666667,4.0,4.666666666666667,4.583333333333334
004,flashcard,10,10,100.0,4.666666666666667,5.0,4.0,4.666666666666667,4.583333333333334
005,conversational,6,10,60.0,5.0,4.333333333333333,4.666666666666667,4.666666666666667,4.666666666666667
005,flashcard,6,10,60.0,2.3333333333333335,4.666666666666667,3.3333333333333335,3.0,3.3333333333333335
006,conversational,6,10,60.0,4.666666666666667,4.333333333333333,3.3333333333333335,4.333333333333333,4.166666666666667
006,flashcard,3,10,30.0,2.0,4.0,3.3333333333333335,3.0,3.0833333333333335
007,conversational,13,20,65.0,5.0,4.666666666666667,4.666666666666667,4.666666666666667,4.75
007,flashcard,7,20,35.0,1.6666666666666667,3.6666666666666665,2.3333333333333335,1.6666666666666667,2.333333333333333
008,conversational,12,20,60.0,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.75
008,flashcard,11,20,55.0,3.0,4.0,3.3333333333333335,3.0,3.3333333333333335
009,conversational,8,20,40.0,2.0,3.3333333333333335,2.3333333333333335,2.3333333333333335,2.5
009,flashcard,17,20,85.0,4.666666666666667,4.333333333333333,4.333333333333333,4.666666666666667,4.5
010,conversational,6,20,30.0,2.6666666666666665,3.3333333333333335,2.3333333333333335,2.3333333333333335,2.6666666666666665
010,flashcard,15,20,75.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
011,conversational,16,20,80.0,4.666666666666667,4.666666666666667,4.333333333333333,4.666666666666667,4.583333333333334
011,flashcard,10,20,50.0,1.6666666666666667,3.3333333333333335,2.3333333333333335,1.6666666666666667,2.25
012,conversational,13,20,65.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.4166666666666665
012,flashcard,14,20,70.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.5833333333333335
