word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
bolster,0,0,0,,,,,0,2.5,1,0
deleterious,0,0,0,,,,,0,2.5,1,0
quandary,0,0,0,,,,,0,2.5,1,0
cursory,0,0,0,,,,,0,2.5,1,0
cacophony,0,0,0,,,,,0,2.5,1,0
benevolent,0,0,0,,,,,0,2.5,1,0
vociferous,0,0,0,,,,,0,2.5,1,0
hackneyed,0,0,0,,,,,0,2.5,1,0
despot,0,0,0,,,,,0,2.5,1,0
complacent,0,0,0,,,,,0,2.5,1,0
abrogate,0,0,0,,,,,0,2.5,1,0
ephemeral,0,0,0,,,,,0,2.5,1,0
