word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
bolster,1750770107849,2,2,,,,,0,2.5,1,0
admonish,1750769254636,2,2,,,,,0,2.5,1,0
vociferous,1750769135997,1,1,,,,,0,2.5,1,0
capitulate,1750769409466,1,1,,,,,0,2.5,1,0
conciliatory,0,0,0,,,,,0,2.5,1,0
perfunctory,1750769409466,1,1,,,,,0,2.5,1,0
capricious,1750769863935,1,1,,,,,0,2.5,1,0
conundrum,1750769863935,1,1,,,,,0,2.5,1,0
austere,1750770001801,1,1,,,,,0,2.5,1,0
garrulous,1750769120594,1,1,,,,,0,2.5,1,0
