word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
obfuscate,1747871529,2,2,,,,,1749599529,2.53,20,2
disparage,1747871529,2,2,,,,,1749599529,2.53,20,2
perfunctory,1747871529,2,2,,,,,1749599529,2.53,20,2
precocious,1747871529,2,2,,,,,1749599529,2.53,20,2
quandary,1747871529,2,2,,,,,1749599529,2.53,20,2
circumspect,1748237174478,0,0,,,,,1748323574478,2.5,1,0
capitulate,1748238588598,0,0,,,,,1748324988598,2.5,1,0
vociferous,1748237275962,0,0,,,,,1748323675962,2.5,1,0
intractable,1747873416190,0,0,,,,,1747959816190,2.5,1,0
esoteric,1747873416200,0,0,,,,,1747959816200,2.5,1,0
abrogate,1747871638,3,3,,,,,1872287638,2.5899999999999994,1440,3
abstruse,1747871638,3,3,,,,,1872287638,2.5899999999999994,1440,3
acumen,1747871639,3,3,,,,,1872287639,2.5899999999999994,1440,3
admonish,1747871639,3,3,,,,,1872287639,2.5899999999999994,1440,3
aesthetic,1747871640,3,3,,,,,1872287640,2.5899999999999994,1440,3
anomaly,1747872224050,0,0,,,,,1747958624050,2.5,1,0
antipathy,1747873416200,0,0,,,,,1747959816200,2.5,1,0
apathy,1748238794089,0,0,,,,,1748325194089,2.5,1,0
arbitrary,1748238536223,0,0,,,,,1748324936223,2.5,1,0
arduous,1748239226160,0,0,,,,,1748325626160,2.5,1,0
articulate,1747871898,8,8,,,,,1872287898,4.100000000000001,1440,8
astute,1748238607344,0,0,,,,,1748325007344,2.5,1,0
austere,1748239082799,1,1,,,,,1748325403835,2.5,1,0
benevolent,1748237174447,0,0,,,,,1748323574447,2.5,1,0
bolster,1748238588598,0,0,,,,,1748324988598,2.5,1,0
brevity,1748238794090,0,0,,,,,1748325194090,2.5,1,0
cacophony,1748237266681,1,1,,,,,1748323574478,2.5,1,0
cajole,1748237275962,0,0,,,,,1748323675962,2.5,1,0
candor,1748238607344,0,0,,,,,1748325007344,2.5,1,0
capricious,1748238794057,0,0,,,,,1748325194057,2.5,1,0
censure,1748239274820,1,1,,,,,1748325642710,2.5,1,0
circuitous,1748237174477,0,0,,,,,1748323574477,2.5,1,0
clandestine,1748239389168,4,4,,,,,1748325642709,2.5,1,0
cogent,1748239226160,0,0,,,,,1748325626160,2.5,1,0
coherent,1748238600650,0,0,,,,,1748325000650,2.5,1,0
complacent,1748239436154,3,3,,,,,0,2.5,1,0
composure,1748239226160,0,0,,,,,1748325626160,2.5,1,0
comprehensive,1748239202310,0,0,,,,,1748325602310,2.5,1,0
conciliatory,0,0,0,,,,,0,2.5,1,0
concur,1747872224050,0,0,,,,,1747958624050,2.5,1,0
condone,0,0,0,,,,,0,2.5,1,0
conundrum,0,0,0,,,,,0,2.5,1,0
copious,1748239180571,0,0,,,,,1748325580571,2.5,1,0
corroborate,1748239180571,0,0,,,,,1748325580571,2.5,1,0
credible,1748238794090,0,0,,,,,1748325194090,2.5,1,0
cryptic,1748239003836,0,0,,,,,1748325403836,2.5,1,0
cursory,1747872148325,0,0,,,,,1747958548325,2.5,1,0
daunt,1747873416200,0,0,,,,,1747959816200,2.5,1,0
deference,1748239226160,0,0,,,,,1748325626160,2.5,1,0
defunct,1748238588598,0,0,,,,,1748324988598,2.5,1,0
deleterious,1748239202310,0,0,,,,,1748325602310,2.5,1,0
demure,1748239389168,3,3,,,,,1748325642710,2.5,1,0
depict,1748237286007,1,1,,,,,1748323675962,2.5,1,0
derivative,1748238588598,0,0,,,,,1748324988598,2.5,1,0
despot,1747872148325,0,0,,,,,1747958548325,2.5,1,0
deterrent,1748237275962,0,0,,,,,1748323675962,2.5,1,0
digress,1748238794056,0,0,,,,,1748325194056,2.5,1,0
dire,1747873416200,0,0,,,,,1747959816200,2.5,1,0
